tipo_accion,tipo_usuario,nombre_tipo_usuario,tiempo_llegada,tiempo_espera,tiempo_servicio,tiempo_sistema,cajero,inicio_servicio,fin_servicio,replica
pago,3,Muy lento,14.140053832249455,0.0,13.656357718731774,13.656357718731774,1,14.140053832249455,27.79641155098123,9
pago,1,Normal,14.14348890241366,0.0,1.1921440123541112,1.1921440123541112,2,14.14348890241366,15.335632914767771,9
retiro,1,Normal,16.701020536204418,0.0,0.597343027624718,0.597343027624718,2,16.701020536204418,17.298363563829135,9
pago,1,Normal,18.62895097443098,0.0,3.230722269806518,3.230722269806518,2,18.62895097443098,21.859673244237495,9
retiro,0,Rápido,19.232455722704337,2.627217521533158,0.31695596377497465,2.9441734853081325,2,21.859673244237495,22.17662920801247,9
retiro,2,Lento,24.09968668735638,0.0,1.9340336838622338,1.9340336838622338,2,24.09968668735638,26.033720371218614,9
retiro,3,Muy lento,30.168207822110844,0.0,7.904094721540807,7.904094721540807,1,30.168207822110844,38.07230254365165,9
retiro,3,Muy lento,40.35895015175124,0.0,2.8041048640488504,2.8041048640488504,0,40.35895015175124,43.16305501580009,9
retiro,1,Normal,40.74904601924863,0.0,5.8825284047093085,5.8825284047093085,1,40.74904601924863,46.63157442395794,9
pago,3,Muy lento,43.524093299789065,0.0,6.872091762722237,6.872091762722237,0,43.524093299789065,50.3961850625113,9
retiro,0,Rápido,43.979884506227236,0.0,1.9203478743976268,1.9203478743976268,2,43.979884506227236,45.900232380624864,9
pago,3,Muy lento,46.55393243006847,0.0,3.403449219236038,3.403449219236038,2,46.55393243006847,49.95738164930451,9
pago,1,Normal,47.84132925343224,0.0,0.4531340931418908,0.4531340931418908,1,47.84132925343224,48.29446334657413,9
pago,1,Normal,50.187478090433885,0.0,1.6304423152685281,1.6304423152685281,1,50.187478090433885,51.81792040570241,9
retiro,1,Normal,51.88923364951819,0.0,0.9792044519808658,0.9792044519808658,0,51.88923364951819,52.86843810149905,9
pago,3,Muy lento,53.80511734658489,0.0,20.82048870651427,20.82048870651427,0,53.80511734658489,74.62560605309916,9
pago,2,Lento,59.02305236332356,0.0,3.4464863307637983,3.4464863307637983,1,59.02305236332356,62.469538694087355,9
retiro,0,Rápido,61.28150329411622,0.0,0.28306881438839787,0.28306881438839787,2,61.28150329411622,61.56457210850462,9
retiro,0,Rápido,61.70374646314573,0.0,2.2347498022002537,2.2347498022002537,2,61.70374646314573,63.93849626534598,9
retiro,1,Normal,65.13497521243515,0.0,0.9821219216399294,0.9821219216399294,1,65.13497521243515,66.11709713407508,9
retiro,1,Normal,66.11723878714669,0.0,3.0783025067189698,3.0783025067189698,1,66.11723878714669,69.19554129386566,9
retiro,2,Lento,69.20284491605317,0.0,5.608424561203611,5.608424561203611,1,69.20284491605317,74.81126947725677,9
retiro,3,Muy lento,87.26469872461618,0.0,4.809664726432902,4.809664726432902,0,87.26469872461618,92.07436345104908,9
retiro,2,Lento,91.78734562452408,0.0,0.13718414332959553,0.13718414332959553,1,91.78734562452408,91.92452976785367,9
retiro,1,Normal,93.30192929281785,0.0,1.05238833827697,1.05238833827697,0,93.30192929281785,94.35431763109482,9
retiro,0,Rápido,94.03774700284042,0.0,0.6598699216473957,0.6598699216473957,1,94.03774700284042,94.69761692448782,9
pago,3,Muy lento,95.81858170575836,0.0,5.510338931710687,5.510338931710687,0,95.81858170575836,101.32892063746905,9
retiro,1,Normal,97.27431641235448,0.0,1.7726584027025691,1.7726584027025691,1,97.27431641235448,99.04697481505706,9
pago,2,Lento,106.14880286231475,0.0,5.34100836876818,5.34100836876818,0,106.14880286231475,111.48981123108294,9
retiro,0,Rápido,107.86484221242651,0.0,0.6447553768740385,0.6447553768740385,1,107.86484221242651,108.50959758930055,9
pago,1,Normal,109.68085258858589,0.0,2.5379047703595963,2.5379047703595963,1,109.68085258858589,112.2187573589455,9
retiro,1,Normal,112.73808848373366,0.0,0.23420346109647136,0.23420346109647136,0,112.73808848373366,112.97229194483013,9
retiro,0,Rápido,113.5020661338086,0.0,1.6145987799382566,1.6145987799382566,0,113.5020661338086,115.11666491374686,9
retiro,1,Normal,114.48321140934526,0.0,0.23610441982938618,0.23610441982938618,1,114.48321140934526,114.71931582917465,9
pago,1,Normal,117.76442602496346,0.0,0.27962225859854906,0.27962225859854906,0,117.76442602496346,118.044048283562,9
retiro,2,Lento,119.48408362806981,0.0,2.8430039572090693,2.8430039572090693,0,119.48408362806981,122.32708758527887,9
retiro,1,Normal,121.01768450479135,0.0,3.7058987353208077,3.7058987353208077,1,121.01768450479135,124.72358324011215,9
retiro,1,Normal,123.22821662317918,0.0,1.150052787971358,1.150052787971358,0,123.22821662317918,124.37826941115054,9
retiro,2,Lento,124.06025714337095,0.0,4.286717399057764,4.286717399057764,2,124.06025714337095,128.3469745424287,9
pago,3,Muy lento,124.49791450757169,0.0,8.818902068311886,8.818902068311886,0,124.49791450757169,133.3168165758836,9
retiro,3,Muy lento,127.23561434816817,0.0,0.1473290505962421,0.1473290505962421,1,127.23561434816817,127.38294339876441,9
retiro,1,Normal,129.95511308320152,0.0,1.1689239017061375,1.1689239017061375,1,129.95511308320152,131.12403698490766,9
retiro,3,Muy lento,131.24855677325894,0.0,0.4939329205950567,0.4939329205950567,1,131.24855677325894,131.742489693854,9
retiro,1,Normal,133.52965971450982,0.0,0.2869302804963527,0.2869302804963527,0,133.52965971450982,133.81658999500618,9
retiro,0,Rápido,133.62715358741914,0.0,2.391510431482683,2.391510431482683,1,133.62715358741914,136.01866401890183,9
retiro,1,Normal,134.38753815652558,0.0,3.067662951136534,3.067662951136534,0,134.38753815652558,137.4552011076621,9
pago,2,Lento,146.05676303173914,0.0,3.269466073763877,3.269466073763877,0,146.05676303173914,149.32622910550302,9
retiro,0,Rápido,146.28587044856698,0.0,0.6480268773751517,0.6480268773751517,1,146.28587044856698,146.93389732594213,9
